date,revenue,customer_count,marketing_spend,customer_acquisition_cost,customer_lifetime_value,churn_rate,retention_rate,net_promoter_score,conversion_rate,market_share,clv_to_cac_ratio,market_penetration,customer_health_score,revenue_quality_score
2021-01-31,1567845.77,751,156876.07,609.52,6217.93,0.047,0.935,46,0.246,0.113,10.20135516471978,84.863,0.5858,0.944
2021-02-28,1735817.83,883,162554.03,579.77,7602.01,0.046,0.924,39,0.265,0.133,13.112113424288943,117.43900000000001,0.5661,0.9390000000000001
2021-03-31,1557606.9100000001,578,174869.11,196.42,2995.54,0.038,0.94,66,0.267,0.094,15.250687302718665,54.332,0.6541000000000001,0.951
2021-04-30,1852426.41,935,186548.43,454.65,3824.55,0.044,0.902,64,0.199,0.058,8.41207522269878,54.230000000000004,0.6124999999999999,0.929
2021-05-31,1812979.98,626,229091.94,175.91,4592.17,0.039,0.9,35,0.157,0.117,26.105224262406914,73.242,0.5121,0.9305
2021-06-30,1745705.9100000001,838,199854.81,709.34,5522.74,0.021,0.941,47,0.212,0.126,7.785744494882566,105.588,0.581,0.96
2021-07-31,1659929.5499999998,984,175717.85,263.87,5113.78,0.047,0.902,67,0.19,0.131,19.379921931254025,128.904,0.6188,0.9275
2021-08-31,1423835.26,464,144068.03,779.89,4820.06,0.045,0.906,36,0.257,0.083,6.180435702470862,38.512,0.5475000000000001,0.9305
2021-09-30,1318157.1800000002,605,112020.44,600.89,3729.31,0.077,0.945,65,0.126,0.059,6.206310639218493,35.695,0.6108,0.9339999999999999
2021-10-31,1384134.0499999998,397,139996.16999999998,314.06,2695.53,0.066,0.949,30,0.225,0.104,8.582850410749538,41.288,0.5371,0.9415
2021-11-30,1498970.76,701,167998.28,418.61,3125.5,0.042,0.941,70,0.191,0.055,7.466376818518429,38.555,0.6437,0.9495
2021-12-31,1474220.49,378,128603.84,323.59,2786.08,0.037,0.95,61,0.139,0.147,8.609907599122346,55.565999999999995,0.6046999999999999,0.9564999999999999
2022-01-31,1721311.51,798,186653.66999999998,545.77,3435.78,0.03,0.924,65,0.185,0.072,6.295289224398557,57.455999999999996,0.6201,0.9470000000000001
2022-02-28,1671197.8900000001,728,186633.84,696.91,2680.77,0.077,0.932,39,0.2,0.122,3.8466516479889803,88.816,0.5498000000000001,0.9275
2022-03-31,1867430.44,1062,215654.74,480.77,3640.55,0.07,0.958,45,0.193,0.064,7.572331884268986,67.968,0.5761,0.944
2022-04-30,1937138.5,987,200758.03999999998,273.9,5596.27,0.065,0.891,34,0.164,0.129,20.431799926980652,127.32300000000001,0.5076,0.913
2022-05-31,1819655.0899999999,569,194247.73,419.71,7605.49,0.05,0.946,48,0.236,0.134,18.12082151962069,76.24600000000001,0.5932,0.948
2022-06-30,1969521.25,852,193350.14,526.95,5959.64,0.072,0.916,60,0.175,0.105,11.309687826169466,89.46,0.5989,0.922
2022-07-31,1734242.4,1085,193366.13,503.23,4732.07,0.039,0.895,45,0.211,0.073,9.403394074280149,79.205,0.5563,0.9279999999999999
2022-08-31,1558161.43,618,165312.64,654.1,2261.88,0.065,0.936,54,0.182,0.116,3.458003363400092,71.688,0.5910000000000001,0.9355
2022-09-30,1555751.3599999999,469,129508.58,683.49,7884.91,0.05,0.883,62,0.274,0.083,11.536247787092716,38.927,0.6214000000000001,0.9165
2022-10-31,1454179.21,577,126957.62,215.24,7070.24,0.026,0.953,30,0.236,0.091,32.84816948522579,52.507,0.5419999999999999,0.9635
2022-11-30,1514309.7,983,154641.41,575.61,2926.17,0.048,0.958,51,0.22,0.09,5.08359826966175,88.47,0.6022000000000001,0.955
2022-12-31,1603391.33,708,144624.33000000002,202.2,3971.39,0.06,0.923,50,0.22,0.139,19.64090009891197,98.412,0.5851999999999999,0.9315
2023-01-31,1736677.92,1000,145140.46,467.17,5246.1,0.057,0.899,48,0.28,0.125,11.229531005843697,125.0,0.5876,0.921
2023-02-28,1927843.3800000001,711,184035.55,432.08,2590.66,0.058,0.95,58,0.147,0.08,5.995787817070912,56.88,0.5981000000000001,0.946
2023-03-31,1925488.1099999999,910,167205.53,168.82,3946.25,0.023,0.909,57,0.143,0.103,23.375488686174624,93.72999999999999,0.5774999999999999,0.9430000000000001
2023-04-30,2081180.44,838,150165.62,517.85,6755.12,0.03,0.886,54,0.219,0.074,13.044549579994206,62.012,0.5821000000000001,0.9279999999999999
2023-05-31,1967967.3599999999,597,158272.58,743.34,2858.71,0.048,0.9,46,0.227,0.14,3.8457637151236312,83.58000000000001,0.5661,0.9259999999999999
2023-06-30,1983560.45,635,209108.78,452.41,3725.79,0.053,0.886,52,0.278,0.08,8.235428040936318,50.800000000000004,0.5938000000000001,0.9165
2023-07-31,1840892.71,506,214240.95,775.32,6141.88,0.047,0.904,54,0.257,0.061,7.921735541453851,30.866,0.6007,0.9285
2023-08-31,1779481.46,610,167367.76,397.89,4153.75,0.038,0.936,31,0.276,0.116,10.439443062152856,70.76,0.5502,0.9490000000000001
2023-09-30,1626601.62,731,170751.72,328.41,5395.57,0.061,0.94,33,0.266,0.125,16.429371821808104,91.375,0.5548,0.9395
2023-10-31,1663745.97,461,134711.07,691.35,7417.61,0.067,0.898,52,0.155,0.069,10.729167570695017,31.809,0.5617,0.9155
2023-11-30,1742962.61,591,173097.6,312.91,6533.46,0.066,0.934,38,0.221,0.14,20.879677862644208,82.74000000000001,0.5539000000000001,0.9339999999999999
2023-12-31,1891610.1400000001,797,182722.21,570.12,3853.6,0.046,0.926,38,0.134,0.08,6.759278748333684,63.76,0.5246000000000001,0.94
