date,customer_acquisition_cost,customer_lifetime_value,churn_rate,retention_rate,net_promoter_score,conversion_rate,market_share
2021-01-31,609.52,6217.93,0.047,0.935,46,0.246,0.113
2021-02-28,579.77,7602.01,0.046,0.924,39,0.265,0.133
2021-03-31,196.42,2995.54,0.038,0.94,66,0.267,0.094
2021-04-30,454.65,3824.55,0.044,0.902,64,0.199,0.058
2021-05-31,175.91,4592.17,0.039,0.9,35,0.157,0.117
2021-06-30,709.34,5522.74,0.021,0.941,47,0.212,0.126
2021-07-31,263.87,5113.78,0.047,0.902,67,0.19,0.131
2021-08-31,779.89,4820.06,0.045,0.906,36,0.257,0.083
2021-09-30,600.89,3729.31,0.077,0.945,65,0.126,0.059
2021-10-31,314.06,2695.53,0.066,0.949,30,0.225,0.104
2021-11-30,418.61,3125.5,0.042,0.941,70,0.191,0.055
2021-12-31,323.59,2786.08,0.037,0.95,61,0.139,0.147
2022-01-31,545.77,3435.78,0.03,0.924,65,0.185,0.072
2022-02-28,696.91,2680.77,0.077,0.932,39,0.2,0.122
2022-03-31,480.77,3640.55,0.07,0.958,45,0.193,0.064
2022-04-30,273.9,5596.27,0.065,0.891,34,0.164,0.129
2022-05-31,419.71,7605.49,0.05,0.946,48,0.236,0.134
2022-06-30,526.95,5959.64,0.072,0.916,60,0.175,0.105
2022-07-31,503.23,4732.07,0.039,0.895,45,0.211,0.073
2022-08-31,654.1,2261.88,0.065,0.936,54,0.182,0.116
2022-09-30,683.49,7884.91,0.05,0.883,62,0.274,0.083
2022-10-31,215.24,7070.24,0.026,0.953,30,0.236,0.091
2022-11-30,575.61,2926.17,0.048,0.958,51,0.22,0.09
2022-12-31,202.2,3971.39,0.06,0.923,50,0.22,0.139
2023-01-31,467.17,5246.1,0.057,0.899,48,0.28,0.125
2023-02-28,432.08,2590.66,0.058,0.95,58,0.147,0.08
2023-03-31,168.82,3946.25,0.023,0.909,57,0.143,0.103
2023-04-30,517.85,6755.12,0.03,0.886,54,0.219,0.074
2023-05-31,743.34,2858.71,0.048,0.9,46,0.227,0.14
2023-06-30,452.41,3725.79,0.053,0.886,52,0.278,0.08
2023-07-31,775.32,6141.88,0.047,0.904,54,0.257,0.061
2023-08-31,397.89,4153.75,0.038,0.936,31,0.276,0.116
2023-09-30,328.41,5395.57,0.061,0.94,33,0.266,0.125
2023-10-31,691.35,7417.61,0.067,0.898,52,0.155,0.069
2023-11-30,312.91,6533.46,0.066,0.934,38,0.221,0.14
2023-12-31,570.12,3853.6,0.046,0.926,38,0.134,0.08
